bintime	num	type	lat	lon	alt	ew_v	ns_v	alt_rate	nacp	nacv	nic	sil	heading	ptoa	vtoa	utoa	range	bearing	mode_s
43276	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18684.8317	0.016722261	0
43276.107	2	1	0.586136456	-1.412489118	5792.682927	103.4243362	14.14826975	0	7	1	4	1	[]	5539009	5539328	5538727	[]	[]	[]
43277	1	0	0.586294864	-1.415900775	6101.219512	107.3187802	10.46641462	0	7	1	4	1	-0.000830428	[]	[]	[]	[]	[]	[]
43277	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18720.73643	0.177793322	0
43277.07	2	1	0.586139909	-1.412423796	5792.682927	103.4243362	14.14826975	0	7	1	4	1	[]	5539458	5539328	5538727	[]	[]	[]
43277.61	2	1	0.586139909	-1.412423796	5792.682927	96.68218747	17.06319177	0	7	1	4	1	[]	5539458	5539521	5538727	[]	[]	[]
43278	1	0	0.586294856	-1.415881324	6100.914634	95.6213525	-2.681596968	0	7	1	4	1	-0.000841249	[]	[]	[]	[]	[]	[]
43278	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18695.80851	6.252329841	0
43278.653	2	1	0.586139909	-1.412423796	5792.682927	105.9650208	15.78867734	0	7	1	4	1	[]	5539458	5539654	5538727	[]	[]	[]
43279	1	0	0.586294864	-1.415861874	6100.609756	94.30509608	7.660410693	0	7	1	4	1	-0.00085207	[]	[]	[]	[]	[]	[]
43279	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18670.45278	0.110075961	0
43279.023	2	1	0.586147221	-1.412385846	5792.682927	105.9650208	15.78867734	0	7	1	4	1	[]	5539698	5539654	5539693	[]	[]	[]
43279.49	2	1	0.586149659	-1.412378855	5792.682927	105.9650208	15.78867734	0	7	1	4	1	[]	5539761	5539654	5539693	[]	[]	[]
43280	1	0	0.586294856	-1.415842442	6100.609756	93.80881196	3.871730752	0	7	1	4	1	-0.000862891	[]	[]	[]	[]	[]	[]
43280	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18668.85635	6.267409573	0
43280.51	2	1	0.586149659	-1.412378855	5792.682927	92.49476765	46.5532928	0	7	1	4	1	[]	5539761	5539892	5539693	[]	[]	[]
43281	1	0	0.586294848	-1.415822991	6100.609756	105.7423694	2.049398279	0	7	1	4	1	-0.000873712	[]	[]	[]	[]	[]	[]
43281	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18652.0476	6.282252533	0
43281.497	2	1	0.586149659	-1.412378855	5792.682927	84.91597864	53.01144787	0	7	1	4	1	[]	5539761	5540018	5539693	[]	[]	[]
43281.893	2	1	0.586169159	-1.412338908	5792.682927	84.91597864	53.01144787	0	7	1	4	1	[]	5540066	5540018	5539693	[]	[]	[]
43282	1	0	0.58629484	-1.41580356	6100.304878	98.45336672	4.42663783	0	7	1	4	1	-0.000884358	[]	[]	[]	[]	[]	[]
43282	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18622.00075	0.116554868	0
43282.46	2	1	0.586169159	-1.412338908	5792.682927	81.92777922	59.40953645	0	7	1	4	1	[]	5540066	5540142	5539693	[]	[]	[]
43283	1	0	0.586294848	-1.415784128	6100	111.5987485	-6.662744299	0	7	1	4	1	-0.000895179	[]	[]	[]	[]	[]	[]
43283	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18572.01712	0.017749318	0
43283.547	2	1	0.586169159	-1.412338908	5792.682927	76.9388042	63.77701168	0	7	1	4	1	[]	5540066	5540281	5540221	[]	[]	[]
43284	1	0	0.586294856	-1.415764696	6100	103.9516413	-7.241437211	0	7	1	4	1	-0.000906	[]	[]	[]	[]	[]	[]
43284	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18526.17642	6.271024603	0
43284.017	2	1	0.58619398	-1.412308132	5792.682927	76.9388042	63.77701168	0	7	1	4	1	[]	5540338	5540281	5540221	[]	[]	[]
43284.443	2	1	0.586199573	-1.41230324	5792.682927	76.9388042	63.77701168	0	7	1	4	1	[]	5540401	5540281	5540221	[]	[]	[]
43285	1	0	0.586294848	-1.415745265	6099.695122	96.0352227	4.882181593	0	7	1	4	1	-0.000916821	[]	[]	[]	[]	[]	[]
43285	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18489.78647	6.197054495	0
43286	1	0	0.58629484	-1.415725814	6099.695122	103.1787406	-2.350860406	0	7	1	4	1	-0.000927642	[]	[]	[]	[]	[]	[]
43286	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18454.56514	0.013274259	0
43286.027	2	1	0.586221144	-1.412287587	5792.682927	76.9388042	63.77701168	0	7	1	4	1	[]	5540594	5540281	5540221	[]	[]	[]
43286.16	2	1	0.586221144	-1.412287587	5792.682927	40.95918245	89.31668695	0	7	1	4	1	[]	5540594	5540615	5540221	[]	[]	[]
43287	1	0	0.586294848	-1.415706383	6099.695122	111.1991284	-6.606165748	0	7	1	4	1	-0.000938289	[]	[]	[]	[]	[]	[]
43287	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18370.34729	6.261355968	0
43287.347	2	1	0.586238721	-1.412277805	5792.682927	40.95918245	89.31668695	0	7	1	4	1	[]	5540768	5540615	5540221	[]	[]	[]
43287.393	2	1	0.586238721	-1.412277805	5792.682927	39.03524934	90.40993189	0	7	1	4	1	[]	5540768	5540773	5540221	[]	[]	[]
43287.867	2	1	0.586247158	-1.412272994	5792.682927	39.03524934	90.40993189	0	7	1	4	1	[]	5540834	5540773	5540819	[]	[]	[]
43287.913	2	1	0.586247158	-1.412272994	5792.682927	39.03524934	90.40993189	0	7	1	4	1	[]	5540834	5540840	5540819	[]	[]	[]
43288	1	0	0.58629484	-1.415686932	6099.695122	101.8868689	2.038165395	0	7	1	4	1	-0.00094911	[]	[]	[]	[]	[]	[]
43288	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18288.60556	0.009117076	0
43289	1	0	0.586294848	-1.4156675	6099.390244	101.3558598	1.484880358	0	7	1	4	1	-0.000959931	[]	[]	[]	[]	[]	[]
43289	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18191.42001	0.028169108	0
43289.767	2	1	0.58628047	-1.412265005	5792.682927	39.03524934	90.40993189	0	7	1	4	1	[]	5541073	5540840	5540878	[]	[]	[]
43290	1	0	0.586294856	-1.415648069	6099.390244	106.9406638	-0.114746014	0	7	1	4	1	-0.000970752	[]	[]	[]	[]	[]	[]
43290	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18099.18115	6.249511326	0
43291	1	0	0.586294864	-1.415628618	6099.085366	103.1286852	1.180874306	0	7	1	4	1	-0.000981573	[]	[]	[]	[]	[]	[]
43291	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	18000.35288	6.225361833	0
43292	1	0	0.586294871	-1.415609168	6099.085366	105.7667026	7.686534159	0	7	1	4	1	-0.00099222	[]	[]	[]	[]	[]	[]
43292	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	17888.00685	6.27113318	0
43292.457	2	1	0.58628047	-1.412265005	5792.682927	-24.10148533	102.2562397	0	7	1	4	1	[]	5541073	5541421	5540878	[]	[]	[]
43293	1	0	0.586294864	-1.415589717	6098.780488	103.1637703	8.242164546	0	7	1	4	1	-0.001003041	[]	[]	[]	[]	[]	[]
43293	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	17751.76632	0.050935445	0
43294	1	0	0.586294871	-1.415570286	6098.47561	106.2411229	7.61813883	0	7	1	4	1	-0.001013862	[]	[]	[]	[]	[]	[]
43294	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	17605.04718	6.230606618	0
43294.48	2	1	0.58628047	-1.412265005	5792.682927	-36.27833366	91.3996707	0	7	1	4	1	[]	5541073	5541680	5540878	[]	[]	[]
43295	1	0	0.586294879	-1.415550854	6098.170732	105.0813603	4.963752348	0	7	1	4	1	-0.001024683	[]	[]	[]	[]	[]	[]
43295	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	17467.28616	6.194000972	0
43295.737	2	1	0.586370548	-1.412291501	5792.682927	-36.27833366	91.3996707	0	7	1	4	1	[]	5541841	5541680	5541827	[]	[]	[]
43296	1	0	0.586294871	-1.415531404	6097.865854	100.9365365	4.247960111	0	7	1	4	1	-0.001035504	[]	[]	[]	[]	[]	[]
43296	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	17312.77565	6.213114736	0
43296.033	2	1	0.586370548	-1.412291501	5792.682927	-51.92067226	94.47414238	0	7	1	4	1	[]	5541841	5541879	5541827	[]	[]	[]
43297	1	0	0.586294864	-1.415511953	6097.560976	103.9187169	-3.58715062	0	7	1	4	1	-0.00104615	[]	[]	[]	[]	[]	[]
43297	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	17133.84282	6.27073802	0
43297.523	2	1	0.586370548	-1.412291501	5792.682927	-56.73916054	72.74289604	0	7	1	4	1	[]	5541841	5542070	5541827	[]	[]	[]
43297.93	2	1	0.586370548	-1.412291501	5792.682927	-56.73916054	72.74289604	0	7	1	4	1	[]	5541841	5542122	5541827	[]	[]	[]
43298	1	0	0.586294856	-1.415492521	6097.560976	100.5420094	-4.783421206	0	7	1	4	1	-0.001056971	[]	[]	[]	[]	[]	[]
43298	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	16958.63992	6.236076898	0
43298.447	2	1	0.586405702	-1.412324763	5792.682927	-56.73916054	72.74289604	0	7	1	4	1	[]	5542193	5542122	5541827	[]	[]	[]
43298.937	2	1	0.586410495	-1.412330633	5792.682927	-56.73916054	72.74289604	0	7	1	4	1	[]	5542258	5542122	5541827	[]	[]	[]
43299	1	0	0.586294864	-1.41547309	6097.560976	104.4355273	-2.794636262	0	7	1	4	1	-0.001067792	[]	[]	[]	[]	[]	[]
43299	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	16790.0431	6.21807847	0
43300	1	0	0.586294871	-1.415453658	6097.560976	95.85640196	-2.182021943	0	7	1	4	1	-0.001078613	[]	[]	[]	[]	[]	[]
43300	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	16601.8373	6.241494627	0
43301	1	0	0.586294879	-1.415434226	6097.256098	103.5380798	5.633372722	0	7	1	4	1	-0.001089435	[]	[]	[]	[]	[]	[]
43301	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	16390.05369	6.264861828	0
43302	1	0	0.586294871	-1.415414776	6096.95122	102.7114712	-0.353096922	0	7	1	4	1	-0.001100081	[]	[]	[]	[]	[]	[]
43302	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	16215.10636	6.280985389	0
43303	1	0	0.586294879	-1.415395344	6096.646341	90.4686814	2.454826451	0	7	1	4	1	-0.001110902	[]	[]	[]	[]	[]	[]
43303	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	16007.51383	6.165320849	0
43303.31	2	1	0.586441654	-1.412405962	5792.682927	-56.73916054	72.74289604	0	7	1	4	1	[]	5542816	5542122	5541827	[]	[]	[]
43304	1	0	0.586294871	-1.415375894	6096.341463	101.7142729	1.593970266	0	7	1	4	1	-0.001121723	[]	[]	[]	[]	[]	[]
43304	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	15795.86727	6.242485503	0
43304.24	2	1	0.586445405	-1.412424795	5792.682927	-56.73916054	72.74289604	0	7	1	4	1	[]	5542928	5542122	5541827	[]	[]	[]
43304.74	2	1	0.58644703	-1.412432784	5792.682927	-56.73916054	72.74289604	0	7	1	4	1	[]	5542993	5542122	5541827	[]	[]	[]
43305	1	0	0.586294864	-1.415356443	6096.036585	104.4587288	-4.942816021	0	7	1	4	1	-0.001132544	[]	[]	[]	[]	[]	[]
43305	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	15600.25903	6.177706316	0
43305.703	2	1	0.58644703	-1.412432784	5792.682927	-112.6033547	4.866733869	0	7	1	4	1	[]	5542993	5543117	5541827	[]	[]	[]
43305.737	2	1	0.586446448	-1.412452921	5792.682927	-112.6033547	4.866733869	0	7	1	4	1	[]	5543121	5543117	5541827	[]	[]	[]
43306	1	0	0.586294871	-1.415337012	6096.036585	102.302231	1.096274505	0	7	1	4	1	-0.001143365	[]	[]	[]	[]	[]	[]
43306	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	15394.4759	6.253573981	0
43307	1	0	0.586294864	-1.415317561	6096.036585	109.2377077	-1.25121835	0	7	1	4	1	-0.001154012	[]	[]	[]	[]	[]	[]
43307	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	15194.4062	6.187482394	0
43308	1	0	0.586294871	-1.415298129	6096.036585	105.6041383	-2.123246716	0	7	1	4	1	-0.001164833	[]	[]	[]	[]	[]	[]
43308	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	14981.89105	6.240420325	0
43308.187	2	1	0.586446448	-1.412452921	5792.682927	-102.027878	1.172128758	0	7	1	4	1	[]	5543121	5543435	5541827	[]	[]	[]
43308.607	2	1	0.586446448	-1.412452921	5792.682927	-102.027878	1.172128758	0	7	1	4	1	[]	5543121	5543488	5543447	[]	[]	[]
43309	1	0	0.586294864	-1.415278679	6096.036585	99.41959544	10.71436634	0	7	1	4	1	-0.001175654	[]	[]	[]	[]	[]	[]
43309	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	14774.00405	6.224677123	0
43310	1	0	0.586294856	-1.415259229	6095.731707	105.0085665	-4.840934502	0	7	1	4	1	-0.001186475	[]	[]	[]	[]	[]	[]
43310	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	14562.86494	6.157493205	0
43311	1	0	0.586294864	-1.415239778	6095.426829	107.4267105	-0.988355986	0	7	1	4	1	-0.001197296	[]	[]	[]	[]	[]	[]
43311	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	14364.23608	6.202126981	0
43311.963	2	1	0.586446448	-1.412452921	5792.682927	-94.74139604	8.539950455	0	7	1	4	1	[]	5543121	5543918	5543862	[]	[]	[]
43312	1	0	0.586294856	-1.415220346	6095.426829	101.290371	0.063931345	0	7	1	4	1	-0.001207942	[]	[]	[]	[]	[]	[]
43312	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	14146.01122	6.168497889	0
43312.423	2	1	0.586446448	-1.412452921	5792.682927	-94.74139604	8.539950455	0	7	1	4	1	[]	5543121	5543977	5543862	[]	[]	[]
43313	1	0	0.586294864	-1.415200915	6095.121951	103.0759547	4.618167904	0	7	1	4	1	-0.001218763	[]	[]	[]	[]	[]	[]
43313	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	13957.69801	6.232596468	0
43314	1	0	0.586294871	-1.415181464	6095.121951	108.1844865	-4.248675703	0	7	1	4	1	-0.001229584	[]	[]	[]	[]	[]	[]
43314	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	13743.56421	6.185088989	0
43314.087	2	1	0.586446448	-1.412615319	5792.682927	-94.74139604	8.539950455	0	7	1	4	1	[]	5544194	5543977	5544179	[]	[]	[]
43314.457	2	1	0.586446448	-1.412615319	5792.682927	-98.87557091	4.102427505	0	7	1	4	1	[]	5544194	5544237	5544179	[]	[]	[]
43315	1	0	0.586294879	-1.415162014	6094.817073	107.7393381	-2.854330801	0	7	1	4	1	-0.001240405	[]	[]	[]	[]	[]	[]
43315	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	13539.16823	6.273690664	0
43315.14	2	1	0.586446218	-1.412634519	5792.682927	-98.87557091	4.102427505	0	7	1	4	1	[]	5544320	5544237	5544179	[]	[]	[]
43315.727	2	1	0.586445649	-1.412646625	5792.682927	-98.87557091	4.102427505	0	7	1	4	1	[]	5544401	5544237	5544343	[]	[]	[]
43316	1	0	0.586294887	-1.415142582	6094.512195	101.6214672	-1.991595866	0	7	1	4	1	-0.001251227	[]	[]	[]	[]	[]	[]
43316	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	13315.88185	6.236122609	0
43317	1	0	0.586294895	-1.41512315	6094.512195	98.55301452	1.21824249	0	7	1	4	1	-0.001261873	[]	[]	[]	[]	[]	[]
43317	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	13122.68306	6.169865215	0
43318	1	0	0.586294887	-1.415103719	6094.512195	105.4347319	-0.725038339	0	7	1	4	1	-0.001272694	[]	[]	[]	[]	[]	[]
43318	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	12919.16678	6.257573386	0
43318.1	2	1	0.586446448	-1.412692605	5792.682927	-98.87557091	4.102427505	0	7	1	4	1	[]	5544706	5544237	5544692	[]	[]	[]
43318.217	2	1	0.586446448	-1.412692605	5792.682927	-105.2672289	0.174710327	0	7	1	4	1	[]	5544706	5544718	5544692	[]	[]	[]
43318.593	2	1	0.586446218	-1.412705425	5792.682927	-105.2672289	0.174710327	0	7	1	4	1	[]	5544769	5544718	5544692	[]	[]	[]
43319	1	0	0.586294895	-1.415084268	6094.512195	101.6716255	3.994784213	0	7	1	4	1	-0.001283515	[]	[]	[]	[]	[]	[]
43319	3	4	[]	[]	5792.682927	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	12715.79496	6.21764582	0
43319.327	2	1	0.586446218	-1.412705425	5792.682927	-105.762227	-3.088115761	0	7	1	4	1	[]	5544769	5544861	5544692	[]	[]	[]
